Title,url,tag_list,tag_list2
#NykaaLand | Makeup,https://www.youtube.com/watch?v=9GqxdBV7KsU,"Female,OfficeProfessionals,Wearing_Lipstick,MiddleClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,Female,OfficeProfessionals,Wearing_Lipstick,MiddleClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,Students,Wearing_Earrings,Wearing_Formals,Wearing_Casuals,LowMiddleClass,HigherMiddleClass,Sunglasses,Kids(1-15yrs.),BigLips,WavyHair,Bangs,ColourHighlights,ColourStreaks","Male,Bald,SlightBeard,DenseBeard,Mustaches,Goatee,DarkCircleundereyes"
Apple Airpods,https://www.youtube.com/watch?v=IC9urbiVp4M,"Male,Female,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,UpperClass,Sunglasses,Young(16-35yrs.),MiddleAge(35-55yrs.),Old(55yrs.above),RosyCheeks,HeavyMakeup,Bald,BlackHair,GrayHair,WhiteHair,Advert,Male,Female,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,UpperClass,Sunglasses,Young(16-35yrs.),MiddleAge(35-55yrs.),Old(55yrs.above),RosyCheeks,HeavyMakeup,Bald,BlackHair,GrayHair,WhiteHair,Wearing_Lipstick,Wearing_Necklace,HigherMiddleClass,Specatacles,ChubbyFace,VisibleCheekBones(Fit),RecedingHairline,NoBeard,Mustaches,Goatee,Advert","Wearing_Earrings,LowIncomeGroup,Kids(1-15yrs.),BigNose,BigLips,BushyEyeBrows,DarkCircles"
Apple Watch,https://www.youtube.com/watch?v=IC9urbiVp4M,"OfficeProfessionals,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Advert,OfficeProfessionals,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Male,Female,Wearing_Earrings,HigherMiddleClass,Young(16-35yrs.),ChubbyFace,VisibleCheekBones(Fit),Bald,RecedingHairline,GrayHair,WhiteHair,Advert","LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.)"
Armani Jeans,https://www.youtube.com/watch?v=Fv48cV-ADYM,"Female,Students,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Casuals,MiddleClass,Young(16-35yrs.),RosyCheeks,ColourHighlights,ColourStreaks,Female,Students,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Casuals,MiddleClass,Young(16-35yrs.),RosyCheeks,ColourHighlights,ColourStreaks,OfficeProfessionals,LowIncomeGroup,LowMiddleClass,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),ChubbyFace,HeavyMakeup,WavyHair,Bangs,BrownHair,BlackHair","Male,Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,SlightBeard,DenseBeard,Mustaches,Goatee,DarkCircleundereyes"
Bank Of Quensland,https://www.youtube.com/watch?v=1vtcf13zT08,"OfficeProfessionals,Wearing_Formals,MiddleAge(35-55yrs.),Old(55yrs.above),OfficeProfessionals,Wearing_Formals,MiddleAge(35-55yrs.),Old(55yrs.above),Male,Female,Wearing_Earrings,Wearing_Necklace,Wearing_Necktie,LowMiddleClass,MiddleClass,HigherMiddleClass,UpperClass,Young(16-35yrs.),RecedingHairline,SlightBeard,DenseBeard,Mustaches",Kids(1-15yrs.)
"Beard.com ""The Bar",https://www.youtube.com/watch?v=AGGOhsSF9Po,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,Young(16-35yrs.),MiddleAge(35-55yrs.),DoubleChin,VisibleCheekBones(Fit),DenseBeard,Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,Young(16-35yrs.),MiddleAge(35-55yrs.),DoubleChin,VisibleCheekBones(Fit),DenseBeard,Students,LowMiddleClass,MiddleClass,HigherMiddleClass,UpperClass,StraightHair,WavyHair,Bangs,BrownHair,BlackHair,GrayHair,WhiteHair,ColourHighlights,ColourStreaks,SlightBeard,Goatee","Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,Kids(1-15yrs.),RosyCheeks,ChubbyFace,BigNose,BigLips,BushyEyeBrows,HeavyMakeup,NoBeard,Mustaches"
Beautiful eyes Himalaya Kajal,https://www.youtube.com/watch?v=wXTd7CEk4cA,"Female,Wearing_Earrings,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,Bangs,Female,Wearing_Earrings,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,Bangs,Students,OfficeProfessionals,Wearing_Lipstick,Wearing_Necklace,Wearing_Casuals,LowIncomeGroup,LowMiddleClass,MiddleClass,Kids(1-15yrs.),Old(55yrs.above),HeavyMakeup,WavyHair","Male,Bald,SlightBeard,DenseBeard,Mustaches,Goatee"
Boss Bottled Man ,https://www.youtube.com/watch?v=wuolDtCniKc,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),VisibleCheekBones(Fit),SlightBeard,DenseBeard,Mustaches,Goatee,Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),VisibleCheekBones(Fit),SlightBeard,DenseBeard,Mustaches,Goatee,MiddleClass,DoubleChin,BlackHair,GrayHair,ColourStreaks","Female,Wearing_Earrings,Wearing_Lipstick,LowIncomeGroup,Kids(1-15yrs.)"
Caprese Handbags,https://www.youtube.com/watch?v=8MOQLsgs7V4,"Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,MiddleClass,HigherMiddleClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,Bangs,ColourHighlights,ColourStreaks,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,MiddleClass,HigherMiddleClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,Bangs,ColourHighlights,ColourStreaks,UpperClass,BigLips,WavyHair,BrownHair,BlackHair","Male,LowIncomeGroup,Kids(1-15yrs.),ChubbyFace,DoubleChin,Bald,RecedingHairline,GrayHair,WhiteHair,SlightBeard,DenseBeard,Mustaches,Goatee,DarkCircleundereyes"
Carlsberg Beer,https://www.youtube.com/watch?v=_fB_qy4opRA,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Young(16-35yrs.),MiddleAge(35-55yrs.),NoBeard,SlightBeard,DenseBeard,Mustaches,Goatee,Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Young(16-35yrs.),MiddleAge(35-55yrs.),NoBeard,SlightBeard,DenseBeard,Mustaches,Goatee,Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,MiddleClass,HigherMiddleClass,ChubbyFace,DoubleChin,VisibleCheekBones(Fit),BrownHair,BlackHair,GrayHair,WhiteHair,ColourHighlights,ColourStreaks",Kids(1-15yrs.)
CASIO G-SHOCK,https://www.youtube.com/watch?v=-eUiU2J6szw,"Male,Wearing_Casuals,Young(16-35yrs.),Male,Wearing_Casuals,Young(16-35yrs.),Students,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),VisibleCheekBones(Fit),BrownHair,BlackHair,GrayHair,WhiteHair,ColourHighlights,ColourStreaks,DenseBeard,Mustaches","Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,LowMiddleClass,Specatacles,Sunglasses,Kids(1-15yrs.),RosyCheeks,ChubbyFace,DoubleChin,BigNose,BigLips,BushyEyeBrows,DarkCircles,HeavyMakeup,Bald,StraightHair,WavyHair,Bangs,RecedingHairline,DarkCircleundereyes"
Chanel Gabrielle Perfume,https://www.youtube.com/watch?v=9kgeRleqX_0,"Female,OfficeProfessionals,Wearing_Lipstick,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,NoBeard,Female,OfficeProfessionals,Wearing_Lipstick,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,NoBeard,Wearing_Earrings,Wearing_Necklace,Wearing_Formals,Wearing_Casuals,Old(55yrs.above),WavyHair,Bangs,ColourHighlights","Male,LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),Bald,RecedingHairline,SlightBeard,DenseBeard,Mustaches"
Clearly Blue Reflect Lenses,https://www.youtube.com/watch?v=E49cpwEpSxQ,"Students,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,MiddleClass,HigherMiddleClass,Specatacles,Young(16-35yrs.),MiddleAge(35-55yrs.),Students,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,MiddleClass,HigherMiddleClass,Specatacles,Young(16-35yrs.),MiddleAge(35-55yrs.),Male,Female,LowMiddleClass,UpperClass,DarkCircleundereyes",Kids(1-15yrs.)
Dark and Lovely Fade Resist Hair Color,https://www.youtube.com/watch?v=yP4A6r34Vd8,"Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Old(55yrs.above),RosyCheeks,HeavyMakeup,WhiteHair,ColourHighlights,ColourStreaks,Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Old(55yrs.above),RosyCheeks,HeavyMakeup,WhiteHair,ColourHighlights,ColourStreaks,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,MiddleClass,BigLips,BrownHair,BlackHair,GrayHair",Bald
Deepika Padukone | Tanishq ,https://www.youtube.com/watch?v=-Fn0ecHHmOk,"Female,OfficeProfessionals,Wearing_Earrings,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,Bangs,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,Bangs,Male,Wearing_Lipstick,Wearing_Formals,Specatacles,Young(16-35yrs.),GrayHair,WhiteHair,ColourHighlights","LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.)"
"Diesel ""Kick Ass"" Shoes ",https://www.youtube.com/watch?v=0ljPuSfPbSw,"Male,Students,Young(16-35yrs.),Male,Students,Young(16-35yrs.),Female,LowMiddleClass,MiddleClass,HigherMiddleClass,Kids(1-15yrs.),VisibleCheekBones(Fit)","Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,RosyCheeks,BigNose,BigLips,HeavyMakeup,Bald,Bangs,RecedingHairline"
Disney World & Disney Cruise,https://www.youtube.com/watch?v=-B7oSp8hfF0,"Students,MiddleClass,HigherMiddleClass,UpperClass,Kids(1-15yrs.),Young(16-35yrs.),Students,MiddleClass,HigherMiddleClass,UpperClass,Kids(1-15yrs.),Young(16-35yrs.),OfficeProfessionals,LowMiddleClass,MiddleAge(35-55yrs.),ChubbyFace,DoubleChin,SlightBeard,DenseBeard,Mustaches,Goatee","Bald,RecedingHairline"
Dolce&Gabbana Eyewear,https://www.youtube.com/watch?v=qpjb-gqaSJA,"Male,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,HigherMiddleClass,UpperClass,Specatacles,MiddleAge(35-55yrs.),Old(55yrs.above),Male,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,HigherMiddleClass,UpperClass,Specatacles,MiddleAge(35-55yrs.),Old(55yrs.above),Wearing_Necklace,Wearing_Formals,Sunglasses,Young(16-35yrs.),Bald,StraightHair,WavyHair,Bangs,RecedingHairline,GrayHair,WhiteHair","LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.)"
FACE THE SUN | Sunglass,https://www.youtube.com/watch?v=5vsWmZ2Fr5Q,"Male,Female,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Sunglasses,Young(16-35yrs.),MiddleAge(35-55yrs.),ColourHighlights,ColourStreaks,DenseBeard,Mustaches,Male,Female,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Sunglasses,Young(16-35yrs.),MiddleAge(35-55yrs.),ColourHighlights,ColourStreaks,DenseBeard,Mustaches,Wearing_Necktie,MiddleClass,HigherMiddleClass,Specatacles,Bald,StraightHair,WavyHair,Bangs,GrayHair,SlightBeard","LowIncomeGroup,Kids(1-15yrs.)"
Gucci Presents: Men’s ,https://www.youtube.com/watch?v=u9FEg5qur14,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Bald,GrayHair,WhiteHair,DenseBeard,Mustaches,Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Bald,GrayHair,WhiteHair,DenseBeard,Mustaches,HigherMiddleClass,Old(55yrs.above),RecedingHairline,NoBeard,SlightBeard","Female,Students,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,LowMiddleClass,MiddleClass,Kids(1-15yrs.),RosyCheeks,ChubbyFace,DoubleChin,VisibleCheekBones(Fit),BigNose,BigLips,HeavyMakeup,ColourHighlights,ColourStreaks"
GYM (Fitness Commercial,https://www.youtube.com/watch?v=lhxPHtOEP3k,"Male,Female,OfficeProfessionals,Wearing_Lipstick,Wearing_Casuals,MiddleClass,HigherMiddleClass,Sunglasses,Young(16-35yrs.),ChubbyFace,DoubleChin,VisibleCheekBones(Fit),ColourHighlights,ColourStreaks,DenseBeard,Male,Female,OfficeProfessionals,Wearing_Lipstick,Wearing_Casuals,MiddleClass,HigherMiddleClass,Sunglasses,Young(16-35yrs.),ChubbyFace,DoubleChin,VisibleCheekBones(Fit),ColourHighlights,ColourStreaks,DenseBeard,Students,Wearing_Formals,LowMiddleClass,UpperClass,Kids(1-15yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,StraightHair,WavyHair,Bangs,SlightBeard,Mustaches,Goatee","Old(55yrs.above),Bald"
Heineken - The Odyssey,https://www.youtube.com/watch?v=0Jpl_fkbiq8,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,Young(16-35yrs.),MiddleAge(35-55yrs.),SlightBeard,DenseBeard,Mustaches,Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,Young(16-35yrs.),MiddleAge(35-55yrs.),SlightBeard,DenseBeard,Mustaches,Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,MiddleClass,HigherMiddleClass,Old(55yrs.above),ChubbyFace,DoubleChin,VisibleCheekBones(Fit),Bald,RecedingHairline,ColourHighlights,ColourStreaks,NoBeard,Goatee",Kids(1-15yrs.)
